"","var","rel.inf"
"tmod_max7rav_spring","tmod_max7rav_spring",17.339596388631
"tmod_max7rmx_spring","tmod_max7rmx_spring",12.2659382167155
"tmod_min7rmn_summer","tmod_min7rmn_summer",3.24163495128041
"tmax_maxdiff_summer","tmax_maxdiff_summer",2.71855724282415
"tmod_min7rmn_winter","tmod_min7rmn_winter",2.70913881039023
"tmax_min7rmn_winter","tmax_min7rmn_winter",2.70453252520262
"tmax_avdiff_all","tmax_avdiff_all",2.40576354641314
"tmod_maxdiff_summer","tmod_maxdiff_summer",2.36689146335372
"tmod_min7rmn_spring","tmod_min7rmn_spring",2.30585654223205
"tmax_max7rav_winter","tmax_max7rav_winter",2.22183501505331
"tmod_avdiff_spring","tmod_avdiff_spring",2.02635759759711
"tmax_min7rmn_spring","tmax_min7rmn_spring",1.99545587510336
"tmax_max7rav_spring","tmax_max7rav_spring",1.91022546765492
"tmod_max7rav_winter","tmod_max7rav_winter",1.85384874026401
"tmax_avdiff_summer","tmax_avdiff_summer",1.79884499538369
"tmax_avdiff_winter","tmax_avdiff_winter",1.713005184526
"tmax_avdiff_spring","tmax_avdiff_spring",1.68357401869632
"tmod_maxdiff_fall","tmod_maxdiff_fall",1.63808098600387
"tmod_avdiff_all","tmod_avdiff_all",1.63482494295213
"tmax_min7rmn_fall","tmax_min7rmn_fall",1.59589259181886
"tmax_maxdiff_winter","tmax_maxdiff_winter",1.55452069837765
"tmod_maxdiff_all","tmod_maxdiff_all",1.54996026686558
"tmax_maxdiff_spring","tmax_maxdiff_spring",1.53118369909495
"tmod_max7rmx_winter","tmod_max7rmx_winter",1.47841864003192
"tmod_maxdiff_spring","tmod_maxdiff_spring",1.47296558622088
"tmod_min7rmn_fall","tmod_min7rmn_fall",1.45603002099923
"tmod_max7rmx_summer","tmod_max7rmx_summer",1.44817863207697
"tmod_avdiff_winter","tmod_avdiff_winter",1.43479722317125
"tmod_maxdiff_winter","tmod_maxdiff_winter",1.4101915353816
"tmod_avdiff_fall","tmod_avdiff_fall",1.39761083475334
"tmax_max7rmx_winter","tmax_max7rmx_winter",1.39402747328972
"tmax_max7rav_fall","tmax_max7rav_fall",1.38056026260245
"tmax_max7rmx_spring","tmax_max7rmx_spring",1.37033696450139
"tmod_avdiff_summer","tmod_avdiff_summer",1.35432195085591
"tmax_max7rav_summer","tmax_max7rav_summer",1.19873957218957
"tmax_max7rmx_fall","tmax_max7rmx_fall",1.18848046372375
"tmax_max7rmx_summer","tmax_max7rmx_summer",1.14746598250052
"tmax_maxdiff_all","tmax_maxdiff_all",1.12134791506857
"tmod_max7rav_summer","tmod_max7rav_summer",1.07127883640245
"tmax_avdiff_fall","tmax_avdiff_fall",1.04987508392893
"tmax_maxdiff_fall","tmax_maxdiff_fall",0.990163697522016
"tmod_max7rav_fall","tmod_max7rav_fall",0.953414980247103
"tmod_max7rmx_fall","tmod_max7rmx_fall",0.8868560913432
"tmax_min7rmn_summer","tmax_min7rmn_summer",0.878701593840953
"tmax_ab30count_summer","tmax_ab30count_summer",0.486989714661338
"tmod_max7rmx_all","tmod_max7rmx_all",0.247017489813733
"tmax_ab30count_fall","tmax_ab30count_fall",0.226581819936362
"tmax_ab30count_all","tmax_ab30count_all",0.135828495727595
"tmod_max7rav_all","tmod_max7rav_all",0.0269564401361368
"tmax_max7rmx_all","tmax_max7rmx_all",0.0142088714010298
"tmax_max7rav_all","tmax_max7rav_all",0.0131340612375059
"tmod_ab30count_winter","tmod_ab30count_winter",0
"tmax_ab30count_winter","tmax_ab30count_winter",0
"tmod_ab30count_spring","tmod_ab30count_spring",0
"tmax_ab30count_spring","tmax_ab30count_spring",0
"tmod_ab30count_summer","tmod_ab30count_summer",0
"tmod_ab30count_fall","tmod_ab30count_fall",0
"tmod_min7rmn_all","tmod_min7rmn_all",0
"tmax_min7rmn_all","tmax_min7rmn_all",0
"tmod_ab30count_all","tmod_ab30count_all",0
